date,range,first_row,row_density,comment
7/12/2019,24,113,10,
7/12/2019,23,113,13,
7/12/2019,22,113,10,
7/12/2019,21,113,8.5,
7/12/2019,20,113,10,
7/12/2019,19,113,6.5,
7/12/2019,18,113,12,
7/12/2019,17,113,15,
7/12/2019,16,113,12,
7/12/2019,15,113,11.5,
7/12/2019,14,113,14.5,
7/12/2019,13,113,14,
7/12/2019,12,113,13,
7/12/2019,11,113,13,
7/12/2019,10,113,12,
7/12/2019,9,113,16,
7/12/2019,8,113,11,
7/12/2019,7,113,13.5,
7/12/2019,6,113,13.5,
7/12/2019,5,113,10.5,
7/12/2019,4,113,8.5,
7/12/2019,3,113,8,
7/12/2019,2,113,11,
7/12/2019,2,117,8.5,
7/12/2019,3,117,11,
7/12/2019,4,117,7,
7/12/2019,5,117,8,
7/12/2019,6,117,10.5,
7/12/2019,7,117,10,
7/12/2019,8,117,10,
7/12/2019,9,117,13.5,
7/12/2019,10,117,9.5,
7/12/2019,11,117,10.5,
7/12/2019,12,117,11.5,
7/12/2019,13,117,11.5,
7/12/2019,14,117,8,
7/12/2019,15,117,13,
7/12/2019,16,117,12,
7/12/2019,17,117,12.5,
7/12/2019,18,117,12,
7/12/2019,19,117,12.5,
7/12/2019,20,117,9.5,
7/12/2019,21,117,9,
7/12/2019,22,117,12.5,
7/12/2019,23,117,6.5,
7/12/2019,24,117,7.5,
7/12/2019,25,117,10,
7/12/2019,25,121,11.5,
7/12/2019,24,121,10,
7/12/2019,23,121,14.5,
7/12/2019,22,121,15,
7/12/2019,21,121,11,
7/12/2019,20,121,8.5,
7/12/2019,19,121,13,
7/12/2019,18,121,17.5,
7/12/2019,17,121,14,
7/12/2019,16,121,11.5,
7/12/2019,15,121,14.5,
7/12/2019,14,121,16.5,
7/12/2019,13,121,10,
7/12/2019,12,121,16,
7/12/2019,11,121,14.5,
7/12/2019,10,121,12,
7/12/2019,9,121,12,
7/12/2019,8,121,12,
7/12/2019,7,121,12,
7/12/2019,6,121,14,
7/12/2019,5,121,10,
7/12/2019,4,121,8,
7/12/2019,3,121,13.5,
7/12/2019,2,121,16,
7/12/2019,2,125,14.5,
7/12/2019,3,125,12,
7/12/2019,4,125,15,
7/12/2019,5,125,12,
7/12/2019,6,125,12.5,
7/12/2019,7,125,11,
7/12/2019,8,125,13,
7/12/2019,9,125,13,
7/12/2019,10,125,14,
7/12/2019,11,125,16.5,
7/12/2019,12,125,13.5,
7/12/2019,13,125,13.5,
7/12/2019,14,125,17,
7/12/2019,15,125,15,
7/12/2019,16,125,16.5,
7/12/2019,17,125,16,
7/12/2019,18,125,10.5,
7/12/2019,19,125,16.5,
7/12/2019,20,125,13,
7/12/2019,21,125,13.5,
7/12/2019,22,125,10,
7/12/2019,23,125,12.5,
7/12/2019,24,125,15,
7/12/2019,25,125,10.5,
7/12/2019,2,129,14.5,
7/12/2019,3,129,22,
7/12/2019,4,129,17,
7/12/2019,5,129,17.5,
7/12/2019,6,129,17.5,
7/12/2019,7,129,15,
7/12/2019,8,129,16.5,
7/12/2019,9,129,15.5,
7/12/2019,10,129,13.5,
7/12/2019,11,129,15.5,
7/12/2019,12,129,15,
7/12/2019,13,129,18.5,
7/12/2019,14,129,17.5,
7/12/2019,15,129,16,
7/12/2019,16,129,13,
7/12/2019,17,129,14,
7/12/2019,18,129,9.5,
7/12/2019,19,129,18.5,
7/12/2019,20,129,14.5,
7/12/2019,21,129,20,
7/12/2019,22,129,19,
7/12/2019,23,129,23,
7/12/2019,24,129,8.5,
7/12/2019,25,129,18.5,
7/12/2019,25,133,8.5,
7/12/2019,24,133,8.5,
7/12/2019,23,133,5,
7/12/2019,22,133,14,
7/12/2019,21,133,13.5,
7/12/2019,20,133,14.5,
7/12/2019,19,133,15.5,
7/12/2019,18,133,18.5,
7/12/2019,17,133,12,
